new_sample_runid	new_complete_name	library_id	comment	unique_sample_id	old_complete_name	old_run_id	lab_project_id	batch_name	country	country_alpha2	country_alpha3	city	latitude_inferred	longtitude_inferred	batch_abbr	year	collection_date	collected_by	isolation_source	organism	ena_sample_acc	ena_experiment_acc	ena_run_acc	sequencing_platform	sequencing_type	instrument_model
254	DTU_2018_254_1_Negative_Control_Negative_control_B	1		2016_pil_neg_03	DTU2016_MG_360_Negative control B_Negative_control_B	360	1058	GS pilot 2016	Denmark	NC	NEG	Lyngby	55,78	12,52	pil	16	2018-05-15	Global sewage consortium	Negative control	wastewater metagenome	--	--	--	Illumina	paired	Illumina HiSeq 3000
255	DTU_2018_255_1_Negative_Control_Negative_control_C	1		2016_pil_neg_04	DTU2016_MG_402_Negative control C_Negative_control_C	402	1058	GS pilot 2016	Denmark	NC	NEG	Lyngby	55,78	12,52	pil	16	2018-05-15	Global sewage consortium	Negative control	wastewater metagenome	--	--	--	Illumina	paired	Illumina HiSeq 3000
256	DTU_2018_256_1_Negative_Control_Negative_control_D	1		2016_pil_neg_05	DTU2016_MG_403_Negative control D_Negative_control_D	403	1058	GS pilot 2016	Denmark	NC	NEG	Lyngby	55,78	12,52	pil	16	2018-05-15	Global sewage consortium	Negative control	wastewater metagenome	--	--	--	Illumina	paired	Illumina HiSeq 3000
257	DTU_2018_257_1_Negative_Control_Negative_control_A_re_1	2		2016_pil_neg_02	DTU2016_MG_315_Negative_control_A_re_1_Negative_control_A_re_1	315	1058	GS pilot 2016	Denmark	NC	NEG	Lyngby	55,78	12,52	pil	16	2018-05-15	Global sewage consortium	Negative control	wastewater metagenome	--	--	--	Illumina	paired	Illumina HiSeq 3000
258	DTU_2018_258_1_Negative_Control_Negative_control_B_re_1	2		2016_pil_neg_03	DTU2016_MG_316_Negative_control_B_re_1_Negative_control_B_re_1	316	1058	GS pilot 2016	Denmark	NC	NEG	Lyngby	55,78	12,52	pil	16	2018-05-15	Global sewage consortium	Negative control	wastewater metagenome	--	--	--	Illumina	paired	Illumina HiSeq 3000
259	DTU_2018_259_1_Negative_Control_Negative_control_C_re_1	2		2016_pil_neg_04	DTU2016_MG_317_Negative_control_C_re_1_Negative_control_C_re_1	317	1058	GS pilot 2016	Denmark	NC	NEG	Lyngby	55,78	12,52	pil	16	2018-05-15	Global sewage consortium	Negative control	wastewater metagenome	--	--	--	Illumina	paired	Illumina HiSeq 3000
260	DTU_2018_260_1_Negative_Control_Negative_control_D_re_1	2		2016_pil_neg_05	DTU2016_MG_318_Negative_control_D_re_1_Negative_control_D_re_1	318	1058	GS pilot 2016	Denmark	NC	NEG	Lyngby	55,78	12,52	pil	16	2018-05-15	Global sewage consortium	Negative control	wastewater metagenome	--	--	--	Illumina	paired	Illumina HiSeq 3000
306	DTU_2017_306_1_MG_PT_LI	1		2017_jun_prt_01	DTU2017_MG_2_PT_LI	2	1112	GS snapshot june 2017	Portugal	PT	PRT	Lisbon	38,71	-9,14	jun	17	2017-06-06	Global sewage consortium	wastewater	wastewater metagenome	ERS2597408	ERX2697817	ERR2683203	Illumina	paired	Illumina NovaSeq 6000
307	DTU_2017_307_1_MG_ES_BA	1		2017_jun_esp_01	DTU2017_MG_3_ES_BA	3	1112	GS snapshot june 2017	Spain	ES	ESP	Barcelona	41,38	2,18	jun	17	2017-06-08	Global sewage consortium	wastewater	wastewater metagenome	ERS2597419	ERX2697828	ERR2683214	Illumina	paired	Illumina NovaSeq 6000
308	DTU_2017_308_1_MG_GR_AT	1		2017_jun_grc_01	DTU2017_MG_4_GR_AT	4	1112	GS snapshot june 2017	Greece	GR	GRC	Athens	37,98	23,73	jun	17	2017-06-09	Global sewage consortium	wastewater	wastewater metagenome	ERS2597430	ERX2697839	ERR2683225	Illumina	paired	Illumina NovaSeq 6000
309	DTU_2017_309_1_MG_GB_FA	1		2017_jun_gbr_01	DTU2017_MG_5_GB_FA	5	1112	GS snapshot june 2017	United Kingdom	GB	GBR	Falmouth	50,16	-5,07	jun	17	2017-06-09	Global sewage consortium	wastewater	wastewater metagenome	ERS2597441	ERX2697850	ERR2683236	Illumina	paired	Illumina NovaSeq 6000
310	DTU_2017_310_1_MG_GB_CA	1		2017_jun_gbr_02	DTU2017_MG_6_GB_CA	6	1112	GS snapshot june 2017	United Kingdom	GB	GBR	Camborne	50,21	-5,30	jun	17	2017-06-09	Global sewage consortium	wastewater	wastewater metagenome	ERS2597452	ERX2697861	ERR2683247	Illumina	paired	Illumina NovaSeq 6000
311	DTU_2017_311_1_MG_TD_ND	1		2017_jun_tcd_01	DTU2017_MG_7_TD_ND	7	1112	GS snapshot june 2017	Chad	TD	TCD	N'Djamena	12,12	15,05	jun	17	2017-06-11	Global sewage consortium	wastewater	wastewater metagenome	ERS2597463	ERX2697872	ERR2683258	Illumina	paired	Illumina NovaSeq 6000
312	DTU_2017_312_1_MG_CI_AB	1		2017_jun_civ_01	DTU2017_MG_8_CI_AB	8	1112	GS snapshot june 2017	Cote d'Ivoire	CI	CIV	Abidjan	5,32	-4,02	jun	17	2017-06-13	Global sewage consortium	wastewater	wastewater metagenome	ERS2597474	ERX2697883	ERR2683269	Illumina	paired	Illumina NovaSeq 6000
313	DTU_2017_313_1_MG_CI_BO_a	1		2017_jun_civ_02	DTU2017_MG_9_CI_BO_a	9	1112	GS snapshot june 2017	Cote d'Ivoire	CI	CIV	Bwake	7,71	-5,02	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597485	ERX2697894	ERR2683280	Illumina	paired	Illumina NovaSeq 6000
314	DTU_2017_314_1_MG_CI_YA	1		2017_jun_civ_03	DTU2017_MG_10_CI_YA	10	1112	GS snapshot june 2017	Cote d'Ivoire	CI	CIV	Yamoussoukro	6,81	-5,27	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597328	ERX2697737	ERR2683123	Illumina	paired	Illumina NovaSeq 6000
315	DTU_2017_315_1_MG_MY_KL	1		2017_jun_mys_01	DTU2017_MG_11_MY_KL	11	1112	GS snapshot june 2017	Malaysia	MY	MYS	Kuala Lumpur	3,15	101,69	jun	17	2017-06-15	Global sewage consortium	wastewater	wastewater metagenome	ERS2597339	ERX2697748	ERR2683134	Illumina	paired	Illumina NovaSeq 6000
316	DTU_2017_316_1_MG_MY_KG	1		2017_jun_mys_02	DTU2017_MG_12_MY_KG	12	1112	GS snapshot june 2017	Malaysia	MY	MYS	Klang	3,04	101,45	jun	17	2017-06-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2597350	ERX2697759	ERR2683145	Illumina	paired	Illumina NovaSeq 6000
317	DTU_2017_317_1_MG_CM_YA	1		2017_jun_cmr_01	DTU2017_MG_13_CM_YA	13	1112	GS snapshot june 2017	Cameroon	CM	CMR	Yaounde	3,87	11,52	jun	17	2017-06-15	Global sewage consortium	wastewater	wastewater metagenome	ERS2597361	ERX2697770	ERR2683156	Illumina	paired	Illumina NovaSeq 6000
318	DTU_2017_318_1_MG_HK_HK	1		2017_jun_hkg_01	DTU2017_MG_14_HK_HK	14	1112	GS snapshot june 2017	Hong Kong	HK	HKG	Hong Kong	22,28	114,16	jun	17	2017-06-23	Global sewage consortium	wastewater	wastewater metagenome	ERS2597372	ERX2697781	ERR2683167	Illumina	paired	Illumina NovaSeq 6000
319	DTU_2017_319_1_MG_VN_HO	1		2017_jun_vnm_01	DTU2017_MG_15_VN_HO	15	1112	GS snapshot june 2017	Viet Nam	VN	VNM	Hanoi	21,03	105,85	jun	17	2017-06-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2597383	ERX2697792	ERR2683178	Illumina	paired	Illumina NovaSeq 6000
320	DTU_2017_320_1_MG_BR_BE	1		2017_jun_bra_01	DTU2017_MG_16_BR_BE	16	1112	GS snapshot june 2017	Brazil	BR	BRA	Belem	-1,45	-48,47	jun	17	2017-06-23	Global sewage consortium	wastewater	wastewater metagenome	ERS2597393	ERX2697802	ERR2683188	Illumina	paired	Illumina NovaSeq 6000
321	DTU_2017_321_1_MG_US_PO	1		2017_jun_usa_01	DTU2017_MG_17_US_PO	17	1112	GS snapshot june 2017	USA	US	USA	Portland	45,52	-122,67	jun	17	2017-01-01	Global sewage consortium	wastewater	wastewater metagenome	ERS2597394	ERX2697803	ERR2683189	Illumina	paired	Illumina NovaSeq 6000
322	DTU_2017_322_1_MG_GL_SI	1		2017_jun_grl_01	DTU2017_MG_18_GL_SI	18	1112	GS snapshot june 2017	Greenland	DK	DNK	Sisimiut	66,93	-53,67	jun	17	2017-06-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2597395	ERX2697804	ERR2683190	Illumina	paired	Illumina NovaSeq 6000
323	DTU_2017_323_1_MG_MY_AS	1		2017_jun_mys_03	DTU2017_MG_19_MY_AS	19	1112	GS snapshot june 2017	Malaysia	MY	MYS	Sungai Petani	5,64	100,49	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597396	ERX2697805	ERR2683191	Illumina	paired	Illumina NovaSeq 6000
324	DTU_2017_324_1_MG_MY_PG	1	Metadata survey not filled out. The metadata listed here has been registered in the lab, and comes from the received sample/flask (freddu 17/12-2019)	2017_jun_mys_04	DTU2017_MG_20_MY_PG	20	1112	GS snapshot june 2017	Malaysia	MY	MYS	George Town	5,41	100,33	jun	17	2017-06-08	Global sewage consortium	wastewater	wastewater metagenome	ERS2597398	ERX2697807	ERR2683193	Illumina	paired	Illumina NovaSeq 6000
325	DTU_2017_325_1_MG_MY_IP	1		2017_jun_mys_05	DTU2017_MG_21_MY_IP	21	1112	GS snapshot june 2017	Malaysia	MY	MYS	Ipoh	4,60	101,09	jun	17	2017-08-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597399	ERX2697808	ERR2683194	Illumina	paired	Illumina NovaSeq 6000
326	DTU_2017_326_1_MG_MY_PB	1	Metadata survey not filled out. The metadata listed here has been registered in the lab, and comes from the received sample/flast (freddu 17/12-2019)	2017_jun_mys_06	DTU2017_MG_22_MY_PB	22	1112	GS snapshot june 2017	Malaysia	MY	MYS	Butterworth	5,39	100,37	jun	17	2017-06-08	Global sewage consortium	wastewater	wastewater metagenome	ERS2597400	ERX2697809	ERR2683195	Illumina	paired	Illumina NovaSeq 6000
327	DTU_2017_327_1_MG_JP_JP	1		2017_jun_jpn_01	DTU2017_MG_23_JP_JP	23	1112	GS snapshot june 2017	Japan	JP	JPN	Anonymous	NA	NA	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597401	ERX2697810	ERR2683196	Illumina	paired	Illumina NovaSeq 6000
328	DTU_2017_328_1_MG_DK_AV	1	Sampling date changed - value was incorrect. New value is taken from Survey Monkey metadata response. (freddu 16/09-2019)	2017_jun_dnk_01	DTU2017_MG_24_DK_AV	24	1112	GS snapshot june 2017	Denmark	DK	DNK	Avedore	55,63	12,46	jun	17	2017-06-15	Global sewage consortium	wastewater	wastewater metagenome	ERS2597402	ERX2697811	ERR2683197	Illumina	paired	Illumina NovaSeq 6000
329	DTU_2017_329_1_MG_NL_AM	1		2017_jun_nld_01	DTU2017_MG_25_NL_AM	25	1112	GS snapshot june 2017	Netherlands	NL	NLD	Amsterdam	52,37	4,89	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597403	ERX2697812	ERR2683198	Illumina	paired	Illumina NovaSeq 6000
330	DTU_2017_330_1_MG_NL_UT	1		2017_jun_nld_02	DTU2017_MG_26_NL_UT	26	1112	GS snapshot june 2017	Netherlands	NL	NLD	Utrecht	52,09	5,11	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597404	ERX2697813	ERR2683199	Illumina	paired	Illumina NovaSeq 6000
331	DTU_2017_331_1_MG_UY_MV	1		2017_jun_ury_01	DTU2017_MG_27_UY_MV	27	1112	GS snapshot june 2017	Uruguay	UY	URY	Montevideo	-34,91	-56,19	jun	17	2017-06-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2597405	ERX2697814	ERR2683200	Illumina	paired	Illumina NovaSeq 6000
339	DTU_2017_339_1_MG_DE_DR	1		2017_jun_deu_01	DTU2017_MG_35_DE_DR	35	1112	GS snapshot june 2017	Germany	DE	DEU	Dresden	51,05	13,74	jun	17	2017-07-09	Global sewage consortium	wastewater	wastewater metagenome	ERS2597414	ERX2697823	ERR2683209	Illumina	paired	Illumina NovaSeq 6000
340	DTU_2017_340_1_MG_AL_TI	1	Sample is environmental - sampling site is a river (freddu 11/12-2019)	2017_jun_alb_01	DTU2017_MG_36_AL_TI	36	1112	GS snapshot june 2017	Albania	AL	ALB	Tirana	41,32	19,90	jun	17	2017-06-05	Global sewage consortium	wastewater	wastewater metagenome	ERS2597415	ERX2697824	ERR2683210	Illumina	paired	Illumina NovaSeq 6000
341	DTU_2017_341_1_MG_GH_AC	1		2017_jun_gha_01	DTU2017_MG_37_GH_AC	37	1112	GS snapshot june 2017	Ghana	GH	GHA	Accra	5,56	-0,21	jun	17	2017-06-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2597416	ERX2697825	ERR2683211	Illumina	paired	Illumina NovaSeq 6000
342	DTU_2017_342_1_MG_GH_KU	1		2017_jun_gha_02	DTU2017_MG_38_GH_KU	38	1112	GS snapshot june 2017	Ghana	GH	GHA	Kumasi	6,70	-1,62	jun	17	2017-06-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2597417	ERX2697826	ERR2683212	Illumina	paired	Illumina NovaSeq 6000
343	DTU_2017_343_1_MG_NZ_CH	1		2017_jun_nzl_01	DTU2017_MG_39_NZ_CH	39	1112	GS snapshot june 2017	New Zealand	NZ	NZL	Christchurch	-43,53	172,64	jun	17	2017-06-06	Global sewage consortium	wastewater	wastewater metagenome	ERS2597418	ERX2697827	ERR2683213	Illumina	paired	Illumina NovaSeq 6000
344	DTU_2017_344_1_MG_PH_QU	1		2017_jun_phl_01	DTU2017_MG_40_PH_QU	40	1112	GS snapshot june 2017	Philippines	PH	PHL	Manila	14,59	120,98	jun	17	2017-06-29	Global sewage consortium	wastewater	wastewater metagenome	ERS2597420	ERX2697829	ERR2683215	Illumina	paired	Illumina NovaSeq 6000
345	DTU_2017_345_1_MG_FR_NA	1		2017_jun_fra_01	DTU2017_MG_41_FR_NA	41	1112	GS snapshot june 2017	France	FR	FRA	Nantes	47,22	-1,55	jun	17	2017-06-19	Global sewage consortium	wastewater	wastewater metagenome	ERS2597421	ERX2697830	ERR2683216	Illumina	paired	Illumina NovaSeq 6000
346	DTU_2017_346_1_MG_FR_AU	1		2017_jun_fra_02	DTU2017_MG_42_FR_AU	42	1112	GS snapshot june 2017	France	FR	FRA	Saint Philibert	47,21	5,01	jun	17	2017-06-20	Global sewage consortium	wastewater	wastewater metagenome	ERS2597422	ERX2697831	ERR2683217	Illumina	paired	Illumina NovaSeq 6000
347	DTU_2017_347_1_MG_CH_BR	1		2017_jun_che_01	DTU2017_MG_43_CH_BR	43	1112	GS snapshot june 2017	Switzerland	CH	CHE	Bern	46,95	7,45	jun	17	2017-06-11	Global sewage consortium	wastewater	wastewater metagenome	ERS2597423	ERX2697832	ERR2683218	Illumina	paired	Illumina NovaSeq 6000
348	DTU_2017_348_1_MG_SI_LJ	1		2017_jun_svn_01	DTU2017_MG_44_SI_LJ	44	1112	GS snapshot june 2017	Slovenia	SI	SVN	Ljubljana	46,05	14,51	jun	17	2017-06-14	Global sewage consortium	wastewater	wastewater metagenome	ERS2597424	ERX2697833	ERR2683219	Illumina	paired	Illumina NovaSeq 6000
349	DTU_2017_349_1_MG_SE_UP	1		2017_jun_swe_01	DTU2017_MG_45_SE_UP	45	1112	GS snapshot june 2017	Sweden	SE	SWE	Uppsala	59,86	17,64	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597425	ERX2697834	ERR2683220	Illumina	paired	Illumina NovaSeq 6000
350	DTU_2017_350_1_MG_IT_VE	1		2017_jun_ita_01	DTU2017_MG_46_IT_VE	46	1112	GS snapshot june 2017	Italy	IT	ITA	Verbania	45,92	8,55	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597426	ERX2697835	ERR2683221	Illumina	paired	Illumina NovaSeq 6000
351	DTU_2017_351_1_MG_IT_CA	1		2017_jun_ita_02	DTU2017_MG_47_IT_CA	47	1112	GS snapshot june 2017	Italy	IT	ITA	Cannobio	46,06	8,70	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597427	ERX2697836	ERR2683222	Illumina	paired	Illumina NovaSeq 6000
352	DTU_2017_352_1_MG_IT_NO	1		2017_jun_ita_03	DTU2017_MG_48_IT_NO	48	1112	GS snapshot june 2017	Italy	IT	ITA	Novara	45,58	8,55	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597428	ERX2697837	ERR2683223	Illumina	paired	Illumina NovaSeq 6000
353	DTU_2017_353_1_MG_IE_GA	1		2017_jun_irl_01	DTU2017_MG_49_IE_GA	49	1112	GS snapshot june 2017	Ireland	IE	IRL	Galway	53,27	-9,05	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597429	ERX2697838	ERR2683224	Illumina	paired	Illumina NovaSeq 6000
354	DTU_2017_354_1_MG_AT_VI	1		2017_jun_aut_01	DTU2017_MG_50_AT_VI	50	1112	GS snapshot june 2017	Austria	AT	AUT	Vienna	48,21	16,37	jun	17	2017-06-07	Global sewage consortium	wastewater	wastewater metagenome	ERS2597431	ERX2697840	ERR2683226	Illumina	paired	Illumina NovaSeq 6000
355	DTU_2017_355_1_MG_SN_DA	1		2017_jun_sen_01	DTU2017_MG_51_SN_DA	51	1112	GS snapshot june 2017	Senegal	SN	SEN	Dakar	14,69	-17,45	jun	17	2017-06-15	Global sewage consortium	wastewater	wastewater metagenome	ERS2597432	ERX2697841	ERR2683227	Illumina	paired	Illumina NovaSeq 6000
356	DTU_2017_356_1_MG_ME_PO	1	Sample is environmental - sampling site is a stagnant pool (freddu 11/12-2019)	2017_jun_mne_01	DTU2017_MG_52_ME_PO	52	1112	GS snapshot june 2017	Montenegro	ME	MNE	Podgorica	42,44	19,26	jun	17	2017-06-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2597433	ERX2697842	ERR2683228	Illumina	paired	Illumina NovaSeq 6000
357	DTU_2017_357_1_MG_ET_AD	1		2017_jun_eth_01	DTU2017_MG_53_ET_AD	53	1112	GS snapshot june 2017	Ethiopia	ET	ETH	Addis Ababa	9,00	38,75	jun	17	2017-06-27	Global sewage consortium	wastewater	wastewater metagenome	ERS2597434	ERX2697843	ERR2683229	Illumina	paired	Illumina NovaSeq 6000
358	DTU_2017_358_1_MG_RS_BE	1		2017_jun_srb_01	DTU2017_MG_54_RS_BE	54	1112	GS snapshot june 2017	Serbia	RS	SRB	Belgrade	44,82	20,46	jun	17	2017-06-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2597435	ERX2697844	ERR2683230	Illumina	paired	Illumina NovaSeq 6000
359	DTU_2017_359_1_MG_FI_TU	1		2017_jun_fin_01	DTU2017_MG_55_FI_TU	55	1112	GS snapshot june 2017	Finland	FI	FIN	Turku	60,45	22,27	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597436	ERX2697845	ERR2683231	Illumina	paired	Illumina NovaSeq 6000
360	DTU_2017_360_1_MG_FI_OU	1		2017_jun_fin_02	DTU2017_MG_56_FI_OU	56	1112	GS snapshot june 2017	Finland	FI	FIN	Oulu	65,01	25,47	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597437	ERX2697846	ERR2683232	Illumina	paired	Illumina NovaSeq 6000
361	DTU_2017_361_1_MG_FI_HE	1		2017_jun_fin_03	DTU2017_MG_57_FI_HE	57	1112	GS snapshot june 2017	Finland	FI	FIN	Helsinki	60,17	24,94	jun	17	2017-06-06	Global sewage consortium	wastewater	wastewater metagenome	ERS2597438	ERX2697847	ERR2683233	Illumina	paired	Illumina NovaSeq 6000
362	DTU_2017_362_1_MG_CZ_PR	1		2017_jun_cze_01	DTU2017_MG_58_CZ_PR	58	1112	GS snapshot june 2017	Czech Republic	CZ	CZE	Praha	50,09	14,42	jun	17	2017-06-13	Global sewage consortium	wastewater	wastewater metagenome	ERS2597439	ERX2697848	ERR2683234	Illumina	paired	Illumina NovaSeq 6000
363	DTU_2017_363_1_MG_CZ_BR	1		2017_jun_cze_02	DTU2017_MG_59_CZ_BR	59	1112	GS snapshot june 2017	Czech Republic	CZ	CZE	Brno	49,19	16,61	jun	17	2017-06-13	Global sewage consortium	wastewater	wastewater metagenome	ERS2597440	ERX2697849	ERR2683235	Illumina	paired	Illumina NovaSeq 6000
364	DTU_2017_364_1_MG_TZ_MW	1		2017_jun_tza_01	DTU2017_MG_60_TZ_MW	60	1112	GS snapshot june 2017	Tanzania	TZ	TZA	Mwanza	-2,52	32,90	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597442	ERX2697851	ERR2683237	Illumina	paired	Illumina NovaSeq 6000
365	DTU_2017_365_1_MG_TZ_MO	1		2017_jun_tza_02	DTU2017_MG_61_TZ_MO	61	1112	GS snapshot june 2017	Tanzania	TZ	TZA	Morogoro	-6,87	37,81	jun	17	2017-06-17	Global sewage consortium	wastewater	wastewater metagenome	ERS2597443	ERX2697852	ERR2683238	Illumina	paired	Illumina NovaSeq 6000
366	DTU_2017_366_1_MG_PY_SL	1		2017_jun_pry_01	DTU2017_MG_62_PY_SL	62	1112	GS snapshot june 2017	Paraguay	PY	PRY	San Lorenzo	-25,34	-57,51	jun	17	2017-06-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2597444	ERX2697853	ERR2683239	Illumina	paired	Illumina NovaSeq 6000
367	DTU_2017_367_1_MG_PY_AS	1	Sample is environmental - sampling site is a natural stream (freddu 11/12-2019)	2017_jun_pry_02	DTU2017_MG_63_PY_AS	63	1112	GS snapshot june 2017	Paraguay	PY	PRY	Asuncion	-25,28	-57,63	jun	17	2017-06-15	Global sewage consortium	wastewater	wastewater metagenome	ERS2597445	ERX2697854	ERR2683240	Illumina	paired	Illumina NovaSeq 6000
368	DTU_2017_368_1_MG_BB_BR	1		2017_jun_brb_01	DTU2017_MG_64_BB_BR	64	1112	GS snapshot june 2017	Barbados	BB	BRB	Bridgetown	13,10	-59,62	jun	17	2017-06-15	Global sewage consortium	wastewater	wastewater metagenome	ERS2597446	ERX2697855	ERR2683241	Illumina	paired	Illumina NovaSeq 6000
369	DTU_2017_369_1_MG_BB_WO	1		2017_jun_brb_02	DTU2017_MG_65_BB_WO	65	1112	GS snapshot june 2017	Barbados	BB	BRB	Worthing	13,07	-59,58	jun	17	2017-06-15	Global sewage consortium	wastewater	wastewater metagenome	ERS2597447	ERX2697856	ERR2683242	Illumina	paired	Illumina NovaSeq 6000
370	DTU_2017_370_1_MG_US_WA	1		2017_jun_usa_02	DTU2017_MG_66_US_WA	66	1112	GS snapshot june 2017	USA	US	USA	Waco	31,55	-97,15	jun	17	2017-06-15	Global sewage consortium	wastewater	wastewater metagenome	ERS2597448	ERX2697857	ERR2683243	Illumina	paired	Illumina NovaSeq 6000
371	DTU_2017_371_1_MG_US_AU	1		2017_jun_usa_03	DTU2017_MG_67_US_AU	67	1112	GS snapshot june 2017	USA	US	USA	Austin	30,27	-97,74	jun	17	2017-06-08	Global sewage consortium	wastewater	wastewater metagenome	ERS2597449	ERX2697858	ERR2683244	Illumina	paired	Illumina NovaSeq 6000
372	DTU_2017_372_1_MG_US_HO_a	1		2017_jun_usa_04	DTU2017_MG_68_US_HO_a	68	1112	GS snapshot june 2017	USA	US	USA	Houston	29,76	-95,37	jun	17	2017-06-09	Global sewage consortium	wastewater	wastewater metagenome	ERS2597450	ERX2697859	ERR2683245	Illumina	paired	Illumina NovaSeq 6000
373	DTU_2017_373_1_MG_BD_DH	1		2017_jun_bgd_01	DTU2017_MG_69_BD_DH	69	1112	GS snapshot june 2017	Bangladesh	BD	BGD	Dhaka	23,76	90,38	jun	17	2017-06-14	Global sewage consortium	wastewater	wastewater metagenome	ERS2597451	ERX2697860	ERR2683246	Illumina	paired	Illumina NovaSeq 6000
374	DTU_2017_374_2_MG_US_HO_b	1		2017_jun_usa_05	DTU2017_MG_70_US_HO_b	70	1112	GS snapshot june 2017	USA	US	USA	Houston	29,76	-95,37	jun	17	2017-06-09	Global sewage consortium	wastewater	wastewater metagenome	ERS2597453	ERX2697862	ERR2683248	Illumina	paired	Illumina NovaSeq 6000
375	DTU_2017_375_1_MG_SK_BR	1		2017_jun_svk_01	DTU2017_MG_71_SK_BR	71	1112	GS snapshot june 2017	Slovakia	SK	SVK	Bratislava	48,15	17,11	jun	17	2017-06-22	Global sewage consortium	wastewater	wastewater metagenome	ERS2597454	ERX2697863	ERR2683249	Illumina	paired	Illumina NovaSeq 6000
376	DTU_2017_376_1_MG_SE_GO	1		2017_jun_swe_02	DTU2017_MG_72_SE_GO	72	1112	GS snapshot june 2017	Sweden	SE	SWE	Gothenburg	57,71	11,97	jun	17	2017-06-08	Global sewage consortium	wastewater	wastewater metagenome	ERS2597455	ERX2697864	ERR2683250	Illumina	paired	Illumina NovaSeq 6000
377	DTU_2017_377_1_MG_LV_RI	1		2017_jun_lva_01	DTU2017_MG_73_LV_RI	73	1112	GS snapshot june 2017	Latvia	LV	LVA	Riga	56,95	24,11	jun	17	2017-06-06	Global sewage consortium	wastewater	wastewater metagenome	ERS2597456	ERX2697865	ERR2683251	Illumina	paired	Illumina NovaSeq 6000
378	DTU_2017_378_1_MG_LV_LI	1		2017_jun_lva_02	DTU2017_MG_74_LV_LI	74	1112	GS snapshot june 2017	Latvia	LV	LVA	Liepaja	56,50	21,01	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597457	ERX2697866	ERR2683252	Illumina	paired	Illumina NovaSeq 6000
379	DTU_2017_379_1_MG_DE_BE	1		2017_jun_deu_02	DTU2017_MG_75_DE_BE	75	1112	GS snapshot june 2017	Germany	DE	DEU	Berlin	52,52	13,39	jun	17	2017-06-14	Global sewage consortium	wastewater	wastewater metagenome	ERS2597458	ERX2697867	ERR2683253	Illumina	paired	Illumina NovaSeq 6000
380	DTU_2017_380_1_MG_MU_PL	1		2017_jun_mus_01	DTU2017_MG_76_MU_PL	76	1112	GS snapshot june 2017	Mauritius	MU	MUS	Beau Bassin Rose-Hill	-20,23	57,47	jun	17	2017-06-13	Global sewage consortium	wastewater	wastewater metagenome	ERS2597459	ERX2697868	ERR2683254	Illumina	paired	Illumina NovaSeq 6000
381	DTU_2017_381_1_MG_IL_BE	1		2017_jun_isr_01	DTU2017_MG_77_IL_BE	77	1112	GS snapshot june 2017	Israel	IL	ISR	Beer-Sheva	31,25	34,79	jun	17	2017-06-12	Global sewage consortium	wastewater	wastewater metagenome	ERS2597460	ERX2697869	ERR2683255	Illumina	paired	Illumina NovaSeq 6000
382	DTU_2017_382_1_MG_BA_BL	1		2017_jun_bih_01	DTU2017_MG_78_BA_BL	78	1112	GS snapshot june 2017	Bosnia and Herzegovina	BA	BIH	Banja Luka	44,77	17,20	jun	17	2017-06-13	Global sewage consortium	wastewater	wastewater metagenome	ERS2597461	ERX2697870	ERR2683256	Illumina	paired	Illumina NovaSeq 6000
383	DTU_2017_383_1_MG_AU_MA	1		2017_jun_aus_01	DTU2017_MG_79_AU_MA	79	1112	GS snapshot june 2017	Australia	AU	AUS	Maningrida	-12,05	134,23	jun	17	2017-06-20	Global sewage consortium	wastewater	wastewater metagenome	ERS2597462	ERX2697871	ERR2683257	Illumina	paired	Illumina NovaSeq 6000
